Iteration,Hordes,RatsPerHorde,TotalRats,FPS,PhysicsFPS
0,10,7701,77010,153.42,10.20
0,10,7751,77510,152.89,10.20
0,10,7801,78010,152.44,10.20
0,10,7851,78510,151.80,10.20
0,10,7901,79010,151.85,10.20
0,10,7951,79510,150.32,10.20
0,10,8001,80010,149.68,10.20
0,10,8051,80510,149.12,10.20
0,10,8101,81010,148.54,10.20
0,10,8151,81510,147.84,10.20
0,10,8201,82010,147.36,10.20
0,10,8251,82510,146.64,10.20
0,10,8301,83010,146.06,10.20
0,10,8351,83510,144.40,10.20
0,10,8401,84010,143.74,10.20
0,10,8451,84510,143.22,10.20
0,10,8501,85010,142.50,10.20
0,10,8551,85510,141.31,10.20
0,10,8601,86010,140.68,10.20
0,10,8651,86510,139.96,10.20
0,10,8701,87010,139.22,10.20
0,10,8751,87510,138.50,10.20
0,10,8801,88010,137.81,10.20
0,10,8851,88510,137.13,10.20
0,10,8901,89010,136.35,10.20
0,10,8951,89510,135.58,10.20
0,10,9001,90010,134.82,10.20
0,10,9051,90510,135.01,10.20
0,10,9101,91010,133.54,10.20
0,10,9151,91510,132.79,10.20
0,10,9201,92010,132.10,10.20
0,10,9251,92510,132.16,10.20
0,10,9301,93010,131.42,10.20
0,10,9351,93510,130.77,10.20
0,10,9401,94010,130.15,10.20
0,10,9451,94510,129.48,10.20
0,10,9501,95010,128.90,10.20
0,10,9551,95510,128.30,10.20
0,10,9601,96010,127.64,10.20
0,10,9651,96510,127.54,10.20
0,10,9701,97010,126.10,10.20
0,10,9751,97510,125.43,10.20
0,10,9801,98010,124.90,10.20
0,10,9851,98510,124.48,10.20
0,10,9901,99010,124.02,10.20
0,10,9951,99510,123.56,10.20
0,10,10001,100010,123.06,10.20
0,10,10051,100510,122.62,10.20
0,10,10101,101010,122.23,10.20
0,10,10151,101510,121.96,10.20
0,10,10201,102010,121.56,10.20
0,10,10251,102510,121.20,10.20
0,10,10301,103010,121.53,10.20
0,10,10351,103510,120.22,10.20
0,10,10401,104010,119.86,10.20
0,10,10451,104510,119.79,10.20
0,10,10501,105010,119.51,10.20
0,10,10551,105510,119.25,10.20
0,10,10601,106010,119.03,10.20
0,10,10651,106510,118.78,10.20
0,10,10701,107010,118.56,10.20
0,10,10751,107510,118.35,10.20
0,10,10801,108010,118.35,10.20
0,10,10851,108510,118.17,10.20
0,10,10901,109010,118.03,10.20
0,10,10951,109510,117.84,10.20
0,10,11001,110010,117.71,10.20
0,10,11051,110510,117.66,10.20
0,10,11101,111010,117.49,10.20
0,10,11151,111510,117.42,10.20
0,10,11201,112010,117.33,10.20
0,10,11251,112510,117.24,10.20
0,10,11301,113010,117.13,10.20
0,10,11351,113510,117.01,10.20
0,10,11401,114010,116.89,10.20
0,10,11451,114510,116.76,10.20
0,10,11501,115010,116.64,10.20
0,10,11551,115510,116.60,10.20
0,10,11601,116010,116.46,10.20
0,10,11651,116510,116.43,10.20
0,10,11701,117010,116.31,10.20
0,10,11751,117510,116.18,10.20
0,10,11801,118010,115.88,10.20
0,10,11851,118510,115.67,10.20
0,10,11901,119010,115.98,10.20
0,10,11951,119510,115.71,10.00
0,10,12001,120010,115.38,10.00
0,10,12051,120510,114.21,10.00
0,10,12101,121010,113.88,10.00
0,10,12151,121510,113.84,10.00
0,10,12201,122010,113.56,10.00
0,10,12251,122510,113.34,10.00
0,10,12301,123010,113.02,10.00
0,10,12351,123510,112.70,10.00
0,10,12401,124010,112.34,10.00
0,10,12451,124510,111.96,10.00
0,10,12501,125010,111.65,10.00
0,10,12551,125510,111.31,10.00
0,10,12601,126010,110.93,10.00
0,10,12651,126510,110.58,10.00
0,10,12701,127010,110.35,10.00
0,10,12751,127510,110.51,10.00
0,10,12801,128010,110.11,10.00
0,10,12851,128510,108.92,10.00
0,10,12901,129010,108.95,10.00
0,10,12951,129510,108.65,10.00
0,10,13001,130010,108.43,10.00
0,10,13051,130510,108.29,10.00
0,10,13101,131010,108.04,10.00
0,10,13151,131510,107.77,10.00
0,10,13201,132010,107.53,10.00
0,10,13251,132510,107.26,10.00
0,10,13301,133010,106.92,10.00
0,10,13351,133510,106.62,10.00
0,10,13401,134010,106.33,10.00
0,10,13451,134510,105.62,10.00
0,10,13501,135010,105.49,10.00
0,10,13551,135510,105.81,10.00
0,10,13601,136010,105.69,10.00
0,10,13651,136510,105.67,10.00
0,10,13701,137010,104.56,10.00
0,10,13751,137510,104.42,10.00
0,10,13801,138010,104.55,10.00
0,10,13851,138510,104.16,10.00
0,10,13901,139010,104.31,10.00
0,10,13951,139510,104.21,10.00
0,10,14001,140010,104.01,10.00
0,10,14051,140510,103.79,10.00
0,10,14101,141010,103.58,10.00
0,10,14151,141510,103.33,10.00
0,10,14201,142010,103.10,10.00
0,10,14251,142510,102.96,10.00
0,10,14301,143010,102.84,10.00
0,10,14351,143510,102.70,10.00
0,10,14401,144010,102.62,10.00
0,10,14451,144510,102.54,10.00
0,10,14501,145010,102.51,10.00
0,10,14551,145510,102.45,10.00
0,10,14601,146010,102.65,10.00
0,10,14651,146510,102.52,10.00
0,10,14701,147010,102.31,10.00
0,10,14751,147510,102.16,10.00
0,10,14801,148010,102.02,10.00
0,10,14851,148510,101.88,10.00
0,10,14901,149010,101.74,10.00
0,10,14951,149510,101.59,10.00
0,10,15001,150010,101.47,10.00
0,10,15051,150510,101.28,10.00
0,10,15101,151010,101.04,10.00
0,10,15151,151510,101.39,10.00
0,10,15201,152010,100.43,10.00
0,10,15251,152510,100.27,10.00
0,10,15301,153010,100.12,10.00
0,10,15351,153510,99.92,10.00
0,10,15401,154010,100.07,10.00
0,10,15451,154510,99.95,10.00
0,10,15501,155010,99.86,10.00
0,10,15551,155510,99.77,10.00
0,10,15601,156010,99.61,10.00
0,10,15651,156510,99.52,10.00
0,10,15701,157010,99.35,10.00
0,10,15751,157510,99.22,10.00
0,10,15801,158010,99.07,10.00
0,10,15851,158510,98.91,10.00
0,10,15901,159010,98.78,10.00
0,10,15951,159510,98.65,10.00
0,10,16001,160010,98.52,10.00
0,10,16051,160510,98.37,10.00
0,10,16101,161010,98.24,10.00
0,10,16151,161510,98.11,10.00
0,10,16201,162010,97.93,10.00
0,10,16251,162510,97.78,10.00
0,10,16301,163010,97.66,10.00
0,10,16351,163510,97.55,10.00
0,10,16401,164010,97.38,10.00
0,10,16451,164510,97.27,10.00
0,10,16501,165010,97.38,10.00
0,10,16551,165510,96.31,10.00
0,10,16601,166010,96.26,10.00
0,10,16651,166510,95.96,10.00
0,10,16701,167010,95.64,10.00
0,10,16751,167510,94.29,10.00
0,10,16801,168010,93.91,10.00
0,10,16851,168510,93.56,10.00
0,10,16901,169010,93.22,10.00
0,10,16951,169510,93.18,10.00
0,10,17001,170010,92.42,10.00
0,10,17051,170510,92.02,10.00
0,10,17101,171010,91.56,10.00
0,10,17151,171510,91.24,10.00
0,10,17201,172010,90.85,10.00
0,10,17251,172510,90.27,10.00
0,10,17301,173010,89.89,10.00
0,10,17351,173510,89.48,10.00
0,10,17401,174010,89.43,10.00
0,10,17451,174510,88.42,10.00
0,10,17501,175010,88.22,10.00
0,10,17551,175510,87.86,10.00
0,10,17601,176010,87.52,10.00
0,10,17651,176510,87.23,10.00
0,10,17701,177010,86.90,10.00
0,10,17751,177510,86.64,10.00
0,10,17801,178010,86.31,10.00
0,10,17851,178510,87.19,10.00
0,10,17901,179010,86.02,10.00
0,10,17951,179510,85.71,10.00
0,10,18001,180010,85.73,10.00
0,10,18051,180510,85.51,10.00
0,10,18101,181010,85.27,10.00
0,10,18151,181510,85.54,10.00
0,10,18201,182010,85.34,10.00
0,10,18251,182510,85.10,10.00
0,10,18301,183010,84.95,10.00
0,10,18351,183510,84.83,10.00
0,10,18401,184010,84.74,10.00
0,10,18451,184510,84.58,10.00
0,10,18501,185010,84.38,10.00
0,10,18551,185510,84.28,10.00
