Iteration,Hordes,RatsPerHorde,TotalRats,FPS,PhysicsFPS
0,10,7701,77010,80.58,10.20
0,10,7751,77510,79.86,10.20
0,10,7801,78010,79.48,10.20
0,10,7851,78510,79.03,10.20
0,10,7901,79010,78.65,10.20
0,10,7951,79510,78.20,10.20
0,10,8001,80010,77.66,10.20
0,10,8051,80510,77.64,10.20
0,10,8101,81010,76.32,10.20
0,10,8151,81510,75.95,10.20
0,10,8201,82010,75.41,10.20
0,10,8251,82510,74.74,10.20
0,10,8301,83010,74.48,10.20
0,10,8351,83510,73.01,10.20
0,10,8401,84010,72.46,10.20
0,10,8451,84510,71.86,10.20
0,10,8501,85010,70.90,10.20
0,10,8551,85510,70.45,10.20
0,10,8601,86010,69.74,10.20
0,10,8651,86510,69.18,10.20
0,10,8701,87010,68.31,10.20
0,10,8751,87510,67.92,10.20
0,10,8801,88010,67.34,10.20
0,10,8851,88510,66.71,10.20
0,10,8901,89010,66.43,10.20
0,10,8951,89510,65.94,10.20
0,10,9001,90010,65.57,10.20
0,10,9051,90510,65.15,10.20
0,10,9101,91010,64.96,10.20
0,10,9151,91510,64.63,10.20
0,10,9201,92010,64.38,10.20
0,10,9251,92510,64.08,10.20
0,10,9301,93010,63.59,10.20
0,10,9351,93510,63.60,10.20
0,10,9401,94010,63.39,10.20
0,10,9451,94510,63.21,10.20
0,10,9501,95010,63.34,10.20
0,10,9551,95510,62.63,10.20
0,10,9601,96010,62.64,10.20
0,10,9651,96510,62.44,10.20
0,10,9701,97010,62.20,10.20
0,10,9751,97510,62.04,10.20
0,10,9801,98010,61.56,10.20
0,10,9851,98510,61.53,10.20
0,10,9901,99010,61.26,10.20
0,10,9951,99510,61.09,10.20
0,10,10001,100010,60.84,10.20
0,10,10051,100510,60.68,10.20
0,10,10101,101010,60.45,10.20
0,10,10151,101510,60.59,10.20
0,10,10201,102010,59.85,10.20
0,10,10251,102510,59.88,10.20
0,10,10301,103010,59.72,10.20
0,10,10351,103510,59.71,10.20
0,10,10401,104010,59.57,10.20
0,10,10451,104510,59.41,10.20
0,10,10501,105010,59.25,10.20
0,10,10551,105510,59.11,10.20
0,10,10601,106010,58.97,10.20
0,10,10651,106510,58.85,10.20
0,10,10701,107010,59.04,10.20
0,10,10751,107510,58.94,10.20
0,10,10801,108010,58.18,10.20
0,10,10851,108510,58.15,10.20
0,10,10901,109010,57.78,10.20
0,10,10951,109510,57.87,10.20
0,10,11001,110010,57.74,10.20
0,10,11051,110510,57.64,10.20
0,10,11101,111010,57.47,10.20
0,10,11151,111510,57.39,10.20
0,10,11201,112010,57.20,10.20
0,10,11251,112510,57.15,10.20
0,10,11301,113010,57.32,10.20
0,10,11351,113510,56.76,10.20
0,10,11401,114010,56.54,10.20
0,10,11451,114510,56.29,10.20
0,10,11501,115010,56.00,10.20
0,10,11551,115510,56.10,10.20
0,10,11601,116010,55.26,10.20
0,10,11651,116510,55.20,10.20
0,10,11701,117010,54.93,10.20
0,10,11751,117510,54.64,10.20
0,10,11801,118010,54.43,10.20
0,10,11851,118510,54.46,10.20
0,10,11901,119010,53.65,10.20
0,10,11951,119510,53.67,10.00
0,10,12001,120010,53.38,10.00
0,10,12051,120510,53.10,10.00
0,10,12101,121010,52.68,10.00
0,10,12151,121510,52.62,10.00
0,10,12201,122010,52.41,10.00
0,10,12251,122510,52.19,10.00
0,10,12301,123010,52.25,10.00
0,10,12351,123510,51.78,10.00
0,10,12401,124010,51.57,10.00
0,10,12451,124510,51.43,10.00
0,10,12501,125010,51.53,10.00
0,10,12551,125510,51.35,10.00
0,10,12601,126010,50.84,10.00
0,10,12651,126510,50.65,10.00
0,10,12701,127010,50.44,10.00
0,10,12751,127510,50.60,10.00
0,10,12801,128010,50.41,10.00
0,10,12851,128510,49.97,10.00
0,10,12901,129010,49.80,10.00
0,10,12951,129510,49.63,10.00
0,10,13001,130010,49.48,10.00
0,10,13051,130510,49.60,10.00
0,10,13101,131010,49.09,10.00
0,10,13151,131510,48.95,10.00
0,10,13201,132010,48.76,10.00
0,10,13251,132510,48.63,10.00
0,10,13301,133010,48.55,10.00
0,10,13351,133510,48.72,10.00
0,10,13401,134010,48.03,10.00
0,10,13451,134510,48.07,10.00
0,10,13501,135010,47.84,10.00
0,10,13551,135510,47.66,10.00
0,10,13601,136010,47.44,10.00
0,10,13651,136510,47.03,10.00
0,10,13701,137010,47.08,10.00
0,10,13751,137510,46.87,10.00
0,10,13801,138010,46.69,10.00
0,10,13851,138510,46.50,10.00
0,10,13901,139010,46.53,10.00
0,10,13951,139510,46.00,10.00
0,10,14001,140010,45.85,10.00
0,10,14051,140510,45.89,10.00
0,10,14101,141010,45.76,10.00
0,10,14151,141510,45.65,10.00
0,10,14201,142010,45.48,10.00
0,10,14251,142510,45.54,10.00
