Iteration,Hordes,RatsPerHorde,TotalRats,FPS,PhysicsFPS
0,10,7701,77010,117.82,10.20
0,10,7751,77510,117.36,10.20
0,10,7801,78010,116.93,10.20
0,10,7851,78510,116.50,10.20
0,10,7901,79010,116.18,10.20
0,10,7951,79510,115.88,10.20
0,10,8001,80010,115.60,10.20
0,10,8051,80510,115.88,10.20
0,10,8101,81010,115.57,10.20
0,10,8151,81510,114.46,10.20
0,10,8201,82010,114.47,10.20
0,10,8251,82510,114.11,10.20
0,10,8301,83010,114.23,10.20
0,10,8351,83510,113.08,10.20
0,10,8401,84010,112.96,10.20
0,10,8451,84510,112.80,10.20
0,10,8501,85010,112.58,10.20
0,10,8551,85510,112.53,10.20
0,10,8601,86010,112.36,10.20
0,10,8651,86510,112.11,10.20
0,10,8701,87010,112.16,10.20
0,10,8751,87510,111.74,10.20
0,10,8801,88010,111.40,10.20
0,10,8851,88510,111.02,10.20
0,10,8901,89010,110.79,10.20
0,10,8951,89510,110.11,10.20
0,10,9001,90010,110.08,10.20
0,10,9051,90510,108.98,10.20
0,10,9101,91010,108.47,10.20
0,10,9151,91510,107.95,10.20
0,10,9201,92010,107.29,10.20
0,10,9251,92510,106.77,10.20
0,10,9301,93010,106.12,10.20
0,10,9351,93510,105.53,10.20
0,10,9401,94010,105.39,10.20
0,10,9451,94510,103.53,10.20
0,10,9501,95010,103.90,10.20
0,10,9551,95510,103.57,10.20
0,10,9601,96010,102.95,10.20
0,10,9651,96510,102.34,10.20
0,10,9701,97010,101.69,10.20
0,10,9751,97510,101.15,10.20
0,10,9801,98010,101.10,10.20
0,10,9851,98510,99.92,10.20
0,10,9901,99010,99.34,10.20
0,10,9951,99510,98.82,10.20
0,10,10001,100010,98.23,10.20
0,10,10051,100510,97.72,10.20
0,10,10101,101010,97.34,10.20
0,10,10151,101510,97.37,10.20
0,10,10201,102010,96.25,10.20
0,10,10251,102510,95.78,10.20
0,10,10301,103010,95.29,10.20
0,10,10351,103510,94.78,10.20
0,10,10401,104010,94.31,10.20
0,10,10451,104510,93.89,10.20
0,10,10501,105010,93.47,10.20
0,10,10551,105510,93.39,10.20
0,10,10601,106010,92.37,10.20
0,10,10651,106510,92.06,10.20
0,10,10701,107010,91.97,10.20
0,10,10751,107510,91.72,10.20
0,10,10801,108010,91.49,10.20
0,10,10851,108510,91.29,10.20
0,10,10901,109010,91.11,10.20
0,10,10951,109510,90.91,10.20
0,10,11001,110010,90.68,10.20
0,10,11051,110510,90.51,10.20
0,10,11101,111010,90.37,10.20
0,10,11151,111510,90.24,10.20
0,10,11201,112010,90.12,10.20
0,10,11251,112510,90.03,10.20
0,10,11301,113010,89.93,10.20
0,10,11351,113510,90.18,10.20
0,10,11401,114010,90.11,10.20
0,10,11451,114510,90.03,10.20
0,10,11501,115010,89.95,10.20
0,10,11551,115510,89.90,10.20
0,10,11601,116010,89.83,10.20
0,10,11651,116510,89.77,10.20
0,10,11701,117010,89.04,10.20
0,10,11751,117510,88.91,10.20
0,10,11801,118010,88.80,10.20
0,10,11851,118510,88.94,10.20
0,10,11901,119010,88.82,10.20
0,10,11951,119510,88.67,10.00
0,10,12001,120010,88.45,10.00
0,10,12051,120510,88.23,10.00
0,10,12101,121010,88.01,10.00
0,10,12151,121510,87.83,10.00
0,10,12201,122010,87.56,10.00
0,10,12251,122510,87.34,10.00
0,10,12301,123010,87.08,10.00
0,10,12351,123510,86.81,10.00
0,10,12401,124010,86.46,10.00
0,10,12451,124510,86.46,10.00
0,10,12501,125010,85.45,10.00
0,10,12551,125510,85.26,10.00
0,10,12601,126010,84.81,10.00
0,10,12651,126510,84.40,10.00
0,10,12701,127010,83.94,10.00
0,10,12751,127510,83.52,10.00
0,10,12801,128010,83.17,10.00
0,10,12851,128510,83.07,10.00
0,10,12901,129010,82.02,10.00
0,10,12951,129510,81.79,10.00
0,10,13001,130010,81.36,10.00
0,10,13051,130510,81.19,10.00
0,10,13101,131010,80.56,10.00
0,10,13151,131510,80.14,10.00
0,10,13201,132010,80.08,10.00
0,10,13251,132510,79.03,10.00
0,10,13301,133010,78.86,10.00
0,10,13351,133510,78.50,10.00
0,10,13401,134010,78.11,10.00
0,10,13451,134510,77.75,10.00
0,10,13501,135010,77.40,10.00
